measurement_id,group,x,y
M00099,alpha,15.478,22.539
M00100,gamma,42.356,58.762
M00101,beta,61.188,137.201
M00102,alpha,41.323,73.759
M00103,gamma,48.247,66.378
M00104,beta,98.851,204.048
M00105,gamma,34.436,46.581
M00106,gamma,11.909,-7.382
M00107,alpha,44.659,78.154
M00108,alpha,50.834,84.73
M00109,beta,80.085,145.406
M00110,alpha,16.074,16.962
M00111,gamma,0.529,-3.394
M00112,gamma,43.538,72.011
M00113,alpha,26.309,36.035
M00114,gamma,38.433,71.109
M00115,beta,61.397,106.755
M00116,gamma,5.746,-2.148
M00117,alpha,64.029,107.782
M00118,gamma,93.076,160.55
M00119,gamma,28.601,57.355
M00120,gamma,69.845,119.124
M00121,gamma,16.948,29.154
M00122,alpha,97.565,177.611
M00123,alpha,99.682,181.504
M00124,beta,40.545,76.974
M00125,alpha,51.774,92.822
M00126,alpha,54.959,94.417
M00127,gamma,82.976,148.912
M00128,beta,22.63,50.084
M00129,alpha,45.476,80.903
M00130,alpha,40.713,73.941
M00131,alpha,55.863,89.617
M00132,alpha,80.294,144.311
M00133,beta,87.611,178.765
M00134,gamma,44.277,55.222
M00135,beta,56.317,118.898
M00136,beta,68.159,117.646
M00137,gamma,86.202,135.956
M00138,beta,63.366,130.106
M00139,alpha,67.691,123.158
M00140,beta,51.65,118.34
M00141,alpha,70.082,125.32
M00142,beta,67.37,146.108
M00143,beta,7.603,41.09
M00144,beta,21.857,48.638
M00145,gamma,26.908,55.632
M00146,alpha,49.9,83.886
M00147,alpha,23.486,42.745
M00148,alpha,20.277,45.912
M00149,alpha,83.633,137.655
M00150,alpha,92.019,182.025
M00151,gamma,95.578,160.658
M00152,gamma,95.799,162.502
M00153,beta,37.12,71.569
M00154,gamma,86.877,169.89
M00155,beta,18.287,49.201
M00156,beta,22.209,40.677
M00157,gamma,12.825,0.661
M00158,gamma,3.256,-6.166
M00159,beta,39.372,82.973
M00160,alpha,69.824,118.832
M00161,beta,31.565,89.761
M00162,beta,58.101,120.532
M00163,beta,36.16,85.081
M00164,beta,23.714,51.79
M00165,beta,95.853,183.311
M00166,beta,21.053,59.274
M00167,gamma,75.22,117.363
M00168,beta,17.989,56.483
M00169,alpha,97.927,167.654
M00170,gamma,26.995,18.33
M00171,alpha,55.534,104.872
M00172,gamma,14.955,10.695
M00173,alpha,17.661,-7.71
M00174,gamma,51.701,83.162
M00175,gamma,31.573,37.741
M00176,gamma,4.771,-0.646
M00177,alpha,69.054,144.753
M00178,beta,83.897,174.119
M00179,alpha,44.985,75.213
M00180,gamma,55.749,100.135
M00181,beta,34.414,67.457
M00182,gamma,96.312,169.237
M00183,alpha,57.685,95.052
M00184,beta,35.511,66.855
M00185,gamma,51.044,83.902
M00186,alpha,38.107,55.69
M00187,beta,46.375,121.743
M00188,gamma,80.772,128.882
M00189,beta,42.182,81.623
M00190,alpha,7.911,6.312
M00191,beta,22.822,52.017
M00192,beta,60.538,133.061
M00193,beta,27.125,41.326
M00194,beta,74.79,157.738
M00195,gamma,96.553,157.236
M00196,alpha,12.504,26.443
M00197,alpha,66.202,136.513
M00198,alpha,21.057,31.089
M00199,beta,10.301,56.236
M00200,gamma,5.383,9.306
M00201,beta,52.398,114.936
M00202,gamma,15.527,17.808
M00203,gamma,93.159,151.017
M00204,gamma,28.418,46.68
M00205,gamma,12.641,5.517
M00206,alpha,66.355,118.211
M00207,beta,86.424,146.796
M00208,beta,54.855,118.709
M00209,alpha,96.954,172.096
M00210,gamma,45.654,65.088
M00211,gamma,63.585,91.007
M00212,gamma,53.378,80.364
M00213,beta,48.165,102.441
M00214,beta,36.578,85.985
M00215,beta,15.572,57.605
M00216,alpha,34.388,62.867
M00217,beta,53.51,105.996
M00218,beta,29.961,56.019
M00219,beta,79.796,141.068
M00220,gamma,37.364,44.992
M00221,beta,88.216,165.39
M00222,gamma,73.712,126.185
M00223,beta,82.843,165.013
M00224,gamma,23.956,37.913
M00225,gamma,80.757,131.441
M00226,gamma,53.194,76.743
M00227,beta,41.29,93.932
M00228,beta,11.036,28.803
M00229,beta,61.773,123.869
M00230,alpha,32.064,74.309
M00231,alpha,4.963,1.421
M00232,alpha,28.211,49.102
M00233,alpha,71.52,127.484
M00234,alpha,1.472,-5.997
M00235,alpha,34.191,53.427
M00236,beta,46.368,118.384
M00237,alpha,33.025,75.823
M00238,alpha,26.65,23.39
M00239,beta,7.138,20.146
M00240,beta,81.725,163.567
M00241,alpha,12.196,22.986
M00242,beta,24.716,50.467
M00243,alpha,19.918,35.361
M00244,gamma,98.212,161.473
M00245,beta,38.912,112.364
M00246,alpha,62.916,106.455
M00247,alpha,74.472,128.219
M00248,beta,63.852,128.056
M00249,alpha,36.043,81.722
M00250,alpha,23.597,48.193
M00251,beta,32.451,78.199
M00252,alpha,39.581,79.621
M00253,alpha,0.893,21.873
M00254,beta,68.841,144.388
M00255,alpha,37.14,72.8
M00256,alpha,68.594,127.217
M00257,beta,93.085,199.36
M00258,alpha,35.552,63.674
M00259,alpha,70.133,127.843
M00260,alpha,31.674,51.0
M00261,gamma,78.856,132.854
M00262,beta,73.319,125.277
M00263,alpha,68.925,120.007
M00264,alpha,48.53,92.375
M00265,beta,55.902,102.195
M00266,gamma,18.663,19.899
M00267,beta,32.368,49.603
M00268,gamma,91.447,159.366
M00269,gamma,16.034,6.002
M00270,beta,54.161,109.941
M00271,beta,0.072,7.551
M00272,alpha,88.293,149.994
M00273,gamma,85.683,145.672
M00274,gamma,6.334,-7.345
M00275,gamma,81.905,144.141
M00276,gamma,15.413,34.656
M00277,beta,32.26,69.392
M00278,gamma,65.889,104.105
M00279,alpha,83.519,167.063
M00280,alpha,10.706,37.035
M00281,alpha,9.875,-2.82
M00282,gamma,48.991,68.332
M00283,gamma,70.131,115.808
M00284,gamma,71.785,130.668
M00285,alpha,93.021,171.015
M00286,alpha,46.806,97.739
M00287,gamma,6.07,-25.532
M00288,beta,82.203,152.869
M00289,gamma,5.83,-10.433
M00290,gamma,7.039,-7.202
M00291,beta,7.794,32.118
M00292,alpha,72.517,144.727
M00293,gamma,38.533,65.5
M00294,gamma,62.533,119.002
M00295,alpha,55.842,81.957
M00296,gamma,57.656,86.682
M00297,gamma,45.872,59.953
M00298,alpha,79.246,121.235
M00299,gamma,40.156,58.601
M00300,gamma,44.301,75.746
M00301,beta,90.248,138.715
M00302,beta,41.234,76.615
M00303,gamma,43.059,65.024
M00304,gamma,54.563,71.97
M00305,beta,76.571,161.045
M00306,beta,44.75,91.438
M00307,beta,0.02,24.623
M00308,alpha,51.761,95.291
M00309,beta,0.657,24.488
M00310,beta,2.17,18.089
M00311,gamma,82.234,150.566
M00312,gamma,92.592,149.678
M00313,alpha,9.429,10.196
M00314,beta,36.708,82.797
M00315,gamma,24.986,34.577
M00316,gamma,39.98,72.098
M00317,alpha,73.427,128.65
M00318,alpha,48.828,66.888
M00319,gamma,70.285,118.786
M00320,gamma,30.039,39.202
M00321,gamma,80.834,120.138
M00322,beta,34.793,91.776
M00323,beta,41.652,106.318
M00324,alpha,74.768,116.695
M00325,gamma,92.865,145.844
M00326,alpha,30.478,42.208
M00327,alpha,31.932,47.677
M00328,gamma,22.08,25.509
M00329,alpha,67.364,153.189
M00330,gamma,57.525,93.017
M00331,alpha,22.209,37.004
M00332,alpha,33.617,72.154
M00333,beta,57.144,129.396
M00334,alpha,39.853,75.429
M00335,beta,77.383,158.7
M00336,gamma,19.811,30.379
M00337,beta,65.225,137.921
M00338,gamma,52.425,100.025
M00339,alpha,7.164,14.671
M00340,gamma,8.959,-4.332
M00341,gamma,41.358,59.275
M00342,beta,59.388,127.742
M00343,alpha,76.968,143.951
M00344,beta,62.318,136.903
M00345,beta,4.488,26.405
M00346,beta,15.599,35.792
M00347,gamma,85.276,146.555
M00348,gamma,92.673,159.419
M00349,beta,1.373,15.455
M00350,beta,47.119,94.345
M00351,beta,20.901,44.75
M00352,gamma,75.036,123.148
M00353,gamma,48.303,76.112
M00354,gamma,66.826,103.715
M00355,beta,58.3,118.09
M00356,alpha,6.011,7.757
M00357,alpha,78.919,139.13
M00358,gamma,94.518,157.456
M00359,alpha,38.865,66.825
M00360,gamma,36.022,78.09
M00361,alpha,1.908,15.12
M00362,alpha,97.979,163.505
M00363,gamma,97.661,174.257
M00364,gamma,53.156,91.801
M00365,alpha,19.888,50.856
M00366,gamma,2.149,-9.32
M00367,alpha,92.227,161.298
M00368,gamma,15.701,31.365
M00369,beta,68.431,131.916
M00370,gamma,27.588,47.689
M00371,alpha,62.579,130.893
M00372,alpha,94.414,152.519
M00373,beta,22.558,49.068
M00374,alpha,8.78,25.853
M00375,beta,52.072,98.079
M00376,gamma,22.743,9.024
M00377,alpha,57.29,93.825
M00378,gamma,32.928,53.9
M00379,gamma,13.177,4.615
M00380,gamma,80.011,121.071
M00381,alpha,30.9,51.554
M00382,alpha,43.006,63.37
M00383,alpha,65.623,111.659
M00384,alpha,55.734,97.532
M00385,gamma,11.839,1.135
M00386,gamma,2.948,17.806
M00387,beta,88.013,162.83
M00388,beta,74.561,155.561
M00389,gamma,93.325,154.879
M00390,alpha,13.155,44.301
M00391,alpha,76.245,130.031
M00392,gamma,61.236,94.108
M00393,gamma,23.218,27.451
M00394,gamma,77.983,119.912
M00395,alpha,50.232,75.435
M00396,beta,18.398,36.538
M00397,beta,49.145,108.568
M00398,alpha,40.859,79.527
M00399,alpha,92.544,174.681
M00400,gamma,98.824,165.262
M00401,alpha,6.614,43.257
M00402,gamma,48.994,62.733
M00403,beta,86.677,180.661
M00404,alpha,60.793,101.201
M00405,beta,72.02,122.294
M00406,gamma,59.381,114.408
M00407,gamma,64.139,104.494
M00408,alpha,45.161,78.065
M00409,alpha,87.778,158.401
M00410,gamma,3.925,11.97
M00411,beta,51.613,105.303
M00412,beta,43.955,91.327
M00413,beta,77.368,152.642
M00414,beta,61.313,132.422
M00415,alpha,68.995,135.205
M00416,gamma,45.17,63.686
M00417,gamma,50.066,86.92
M00418,gamma,54.641,102.753
M00419,beta,41.356,82.263
M00420,gamma,89.662,153.68
M00421,alpha,88.255,167.82
M00422,gamma,90.716,158.99
M00423,alpha,71.837,133.523
M00424,beta,63.407,133.272
M00425,alpha,52.382,78.44
M00426,gamma,61.207,114.307
M00427,alpha,37.868,53.15
M00428,beta,56.549,130.778
M00429,gamma,86.267,148.799
M00430,gamma,5.131,4.946
M00431,beta,30.952,72.237
M00432,gamma,18.07,9.568
M00433,alpha,96.043,193.307
M00434,alpha,45.864,83.009
M00435,beta,54.35,137.657
M00436,alpha,21.687,39.934
M00437,gamma,47.571,71.504
M00438,gamma,0.657,-6.206
M00439,gamma,27.811,24.706
M00440,alpha,4.892,-7.266
M00441,alpha,5.506,5.991
M00442,alpha,66.7,125.526
M00443,gamma,29.844,47.058
M00444,beta,99.374,192.048
M00445,alpha,67.209,106.876
M00446,gamma,57.228,81.182
M00447,gamma,17.742,6.769
M00448,alpha,9.313,21.135
M00449,beta,32.282,90.889
M00450,beta,84.331,153.45
M00451,alpha,29.283,64.972
M00452,beta,32.921,88.087
M00453,beta,52.465,103.924
M00454,alpha,57.137,87.28
M00455,gamma,52.895,101.62
M00456,gamma,93.389,168.18
M00457,gamma,28.719,33.58
M00458,gamma,57.514,86.911
M00459,gamma,35.385,64.278
M00460,gamma,72.918,132.483
M00461,beta,49.25,110.665
M00462,gamma,29.049,57.172
M00463,alpha,0.158,16.911
M00464,alpha,73.747,135.27
M00465,alpha,79.956,156.328
M00466,beta,34.965,77.858
M00467,gamma,21.234,16.569
M00468,beta,79.02,143.039
M00469,beta,30.028,49.569
M00470,alpha,68.584,117.122
M00471,beta,39.605,58.64
M00472,alpha,19.402,22.141
M00473,beta,92.228,167.515
M00474,alpha,64.565,117.999
M00475,beta,15.539,19.677
M00476,beta,46.247,104.129
M00477,beta,92.779,195.671
M00478,gamma,72.496,125.513
M00479,beta,55.518,130.574
M00480,beta,79.954,160.765
M00481,beta,6.621,40.52
M00482,beta,98.362,210.602
M00483,gamma,53.427,94.416
M00484,alpha,59.519,121.276
M00485,beta,70.527,140.749
M00486,beta,8.68,33.42
M00487,alpha,37.158,71.762
M00488,gamma,30.232,35.473
M00489,alpha,37.422,75.202
M00490,alpha,44.377,81.756
M00491,alpha,79.903,149.566
M00492,beta,92.364,177.352
M00493,gamma,87.388,143.342
M00494,alpha,82.214,157.912
M00495,gamma,67.672,124.759
M00496,beta,38.759,99.037
M00497,gamma,11.584,9.505
M00498,gamma,87.188,150.278
M00499,beta,46.688,112.982
M00500,gamma,74.555,128.359
M00501,alpha,57.756,94.322
M00502,beta,20.056,74.519
M00503,beta,27.665,59.348
M00504,alpha,27.265,60.819
M00505,alpha,27.364,65.938
M00506,gamma,10.238,10.033
M00507,gamma,35.032,50.292
M00508,gamma,80.4,140.746
M00509,gamma,24.483,48.981
M00510,beta,54.058,119.464
M00511,alpha,13.007,5.712
M00512,alpha,38.36,72.34
M00513,alpha,42.647,83.738
M00514,gamma,62.947,117.881
M00515,gamma,69.937,108.152
M00516,alpha,71.29,121.389
M00517,gamma,80.93,159.592
M00518,beta,56.779,130.068
M00519,alpha,81.285,158.119
M00520,beta,31.039,64.35
M00521,gamma,71.022,109.332
M00522,alpha,14.372,27.749
M00523,gamma,25.805,31.454
M00524,gamma,33.033,55.237
M00525,beta,45.328,109.974
M00526,beta,47.865,103.733
M00527,alpha,28.226,41.695
M00528,gamma,10.293,21.302
M00529,gamma,79.676,125.444
M00530,beta,53.275,126.333
M00531,beta,59.054,121.94
M00532,alpha,97.389,184.246
M00533,beta,6.606,31.682
M00534,beta,78.431,174.012
M00535,beta,56.721,106.986
M00536,alpha,66.261,134.727
M00537,alpha,73.937,127.671
M00538,alpha,59.216,84.393
M00539,beta,32.538,84.219
M00540,beta,95.588,194.559
M00541,alpha,59.826,101.314
M00542,beta,32.741,59.078
M00543,gamma,66.016,127.463
M00544,gamma,90.326,164.5
M00545,gamma,80.984,136.556
M00546,beta,53.126,92.996
M00547,beta,61.557,118.104
M00548,beta,29.974,71.607
M00549,gamma,30.455,56.833
M00550,beta,99.029,188.784
M00551,gamma,0.812,3.629
M00552,alpha,85.251,152.411
M00553,alpha,36.922,62.68
M00554,gamma,56.003,89.607
M00555,beta,10.97,34.139
M00556,beta,70.222,144.359
M00557,beta,62.521,124.624
M00558,beta,54.512,101.225
M00559,gamma,17.341,31.022
M00560,beta,83.996,177.909
M00561,alpha,28.847,56.257
M00562,alpha,7.175,8.458
M00563,alpha,14.4,39.096
M00564,alpha,8.466,3.606
M00565,gamma,80.594,151.279
M00566,gamma,60.443,79.241
M00567,beta,62.325,115.092
M00568,beta,38.471,87.811
M00569,alpha,18.579,20.962
M00570,gamma,23.675,22.988
M00571,gamma,26.925,52.548
M00572,alpha,97.823,169.079
M00573,gamma,48.327,66.268
M00574,gamma,8.006,16.034
M00575,gamma,73.129,155.873
M00576,beta,46.494,95.144
M00577,alpha,52.336,87.272
M00578,gamma,74.169,117.763
M00579,gamma,7.808,-10.274
M00580,beta,61.304,109.363
M00581,beta,53.503,124.477
M00582,beta,57.397,119.208
M00583,beta,42.102,111.599
M00584,beta,16.751,39.888
M00585,gamma,92.286,156.045
M00586,gamma,26.044,17.543
M00587,gamma,47.316,77.071
M00588,beta,80.89,164.015
M00589,gamma,2.73,-11.307
M00590,alpha,85.145,153.859
M00591,beta,25.205,53.179
M00592,beta,1.42,11.153
M00593,alpha,60.382,125.302
M00594,gamma,44.665,59.872
M00595,alpha,26.125,42.818
M00596,gamma,86.201,131.995
M00597,beta,98.407,207.94
M00598,alpha,83.761,147.48
M00599,beta,77.037,154.645
M00600,gamma,16.728,32.999
M00601,gamma,73.436,112.507
M00602,alpha,5.252,23.68
M00603,beta,39.874,80.471
M00604,gamma,23.366,50.904
M00605,gamma,70.561,110.375
M00606,beta,1.186,18.203
M00607,beta,38.2,77.843
M00608,alpha,9.736,31.037
M00609,gamma,63.742,117.014
M00610,gamma,85.836,141.036
M00611,beta,27.033,66.634
M00612,gamma,39.115,51.686
M00613,gamma,74.909,123.262
M00614,alpha,51.995,77.672
M00615,gamma,69.028,120.693
M00616,gamma,0.848,5.199
M00617,alpha,1.196,6.748
M00618,beta,35.152,81.512
M00619,gamma,28.33,41.914
M00620,alpha,5.688,12.7
M00621,gamma,65.661,123.239
M00622,gamma,12.179,-13.358
M00623,alpha,8.639,6.328
M00624,gamma,56.607,84.768
M00625,alpha,89.6,158.208
M00626,beta,66.048,125.243
M00627,alpha,63.878,123.516
M00628,beta,69.222,135.093
M00629,gamma,76.988,125.404
M00630,alpha,27.729,56.3
M00631,alpha,38.28,66.808
M00632,beta,17.793,50.694
M00633,alpha,49.172,103.353
M00634,alpha,64.548,109.04
M00635,alpha,14.387,26.884
M00636,gamma,10.625,0.759
M00637,beta,71.54,147.492
M00638,gamma,72.755,123.781
M00639,beta,1.876,0.922
M00640,alpha,93.289,168.172
M00641,gamma,39.048,66.509
M00642,beta,57.464,127.184
M00643,gamma,70.761,119.17
M00644,beta,84.405,153.362
M00645,alpha,54.013,127.012
M00646,beta,12.12,37.435
M00647,gamma,93.504,146.826
M00648,beta,5.519,39.006
M00649,gamma,9.067,-23.517
M00650,alpha,84.118,144.816
M00651,beta,64.779,133.115
M00652,beta,66.073,136.976
M00653,beta,69.588,153.735
M00654,beta,48.65,92.313
M00655,gamma,43.798,70.038
M00656,alpha,71.974,132.558
M00657,gamma,23.849,16.63
M00658,gamma,30.773,59.089
M00659,gamma,96.495,175.532
M00660,alpha,3.704,-22.29
M00661,alpha,33.772,58.573
M00662,alpha,80.71,133.242
M00663,gamma,52.312,106.713
M00664,gamma,14.895,7.897
M00665,gamma,23.299,49.537
M00666,beta,65.383,141.247
M00667,beta,90.718,171.708
M00668,gamma,13.054,7.439
M00669,alpha,63.266,132.254
M00670,alpha,45.618,69.567
M00671,alpha,83.535,170.732
M00672,alpha,49.714,98.142
M00673,gamma,22.057,33.946
M00674,gamma,67.84,100.197
M00675,beta,12.08,30.677
M00676,beta,83.643,151.754
M00677,alpha,76.423,128.515
M00678,alpha,27.389,43.31
M00679,beta,16.805,40.318
M00680,alpha,92.568,171.878
M00681,alpha,13.337,28.336
M00682,beta,77.766,138.568
M00683,alpha,87.963,159.597
M00684,alpha,70.674,127.915
M00685,gamma,88.692,130.814
M00686,beta,69.236,150.568
M00687,alpha,14.309,24.033
M00688,alpha,93.809,181.873
M00689,gamma,69.167,98.813
M00690,gamma,95.03,150.208
M00691,gamma,82.648,134.814
M00692,gamma,23.564,44.275
M00693,alpha,98.66,194.08
M00694,gamma,50.754,78.935
M00695,beta,77.033,148.453
M00696,alpha,11.268,12.154
M00697,alpha,68.524,136.689
M00698,alpha,15.976,26.087
M00699,alpha,5.403,4.314
M00700,beta,33.429,81.373
M00701,beta,4.332,21.155
M00702,alpha,15.805,1.195
M00703,alpha,48.506,106.312
M00704,gamma,44.482,87.046
M00705,gamma,32.597,54.383
M00706,beta,23.006,73.521
M00707,alpha,32.613,74.726
M00708,alpha,37.553,78.942
M00709,alpha,7.353,9.784
M00710,beta,14.494,39.045
M00711,gamma,45.499,66.961
M00712,gamma,19.415,29.173
M00713,beta,97.556,192.452
M00714,gamma,56.867,98.34
M00715,beta,13.65,47.495
M00716,alpha,76.034,126.189
M00717,alpha,88.641,142.703
M00718,gamma,95.276,148.656
M00719,alpha,57.812,95.864
M00720,beta,85.697,166.433
M00721,beta,86.22,173.041
M00722,beta,27.917,78.542
M00723,gamma,42.811,73.366
M00724,beta,57.947,112.805
M00725,gamma,94.625,182.304
M00726,beta,98.018,178.201
M00727,alpha,99.127,176.955
M00728,beta,53.112,96.463
M00729,beta,80.972,158.957
M00730,beta,24.051,53.145
M00731,gamma,75.308,121.268
M00732,alpha,13.271,12.401
M00733,beta,23.906,60.181
M00734,gamma,30.484,44.857
M00735,gamma,45.928,58.313
M00736,beta,46.376,91.679
M00737,alpha,87.42,139.798
M00738,beta,62.681,139.7
M00739,gamma,63.34,106.95
M00740,gamma,33.291,46.39
M00741,alpha,29.659,53.723
M00742,gamma,54.244,69.071
M00743,alpha,78.769,163.403
M00744,gamma,93.224,169.858
M00745,gamma,94.532,148.71
M00746,alpha,38.295,46.584
M00747,beta,61.913,121.497
M00748,gamma,70.487,122.447
M00749,gamma,70.934,127.181
M00750,alpha,53.963,129.614
M00751,gamma,47.849,90.796
M00752,gamma,20.979,21.864
M00753,gamma,76.089,115.977
M00754,gamma,68.023,135.606
M00755,beta,5.446,15.619
M00756,gamma,52.668,94.242
M00757,alpha,47.016,62.659
M00758,beta,45.198,91.892
M00759,beta,79.99,179.537
M00760,alpha,18.835,26.556
M00761,beta,8.731,24.891
M00762,alpha,10.936,24.461
M00763,beta,11.202,39.263
M00764,alpha,52.069,99.217
M00765,gamma,2.269,-21.648
M00766,alpha,47.39,94.402
M00767,beta,44.386,88.773
M00768,alpha,2.204,-3.893
M00769,alpha,83.495,139.516
M00770,gamma,34.279,50.367
M00771,gamma,78.682,113.927
M00772,gamma,84.191,143.088
M00773,beta,45.801,74.042
M00774,beta,17.174,35.392
M00775,beta,22.678,48.962
M00776,alpha,14.834,33.832
M00777,beta,45.593,110.738
M00778,gamma,53.532,109.933
M00779,alpha,97.321,184.992
M00780,gamma,79.446,117.394
M00781,alpha,23.791,52.947
M00782,alpha,44.089,82.038
M00783,beta,18.45,45.264
M00784,beta,97.802,189.824
M00785,alpha,37.291,60.198
M00786,beta,12.149,35.096
M00787,alpha,40.456,66.094
M00788,beta,92.781,182.03
M00789,alpha,0.429,-1.59
M00790,beta,64.724,98.887
M00791,beta,47.391,93.169
M00792,gamma,66.689,137.956
M00793,gamma,72.854,130.775
M00794,alpha,73.164,126.576
M00795,alpha,13.942,15.32
M00796,beta,61.752,122.912
M00797,alpha,44.597,83.65
M00798,gamma,19.515,27.343
M00799,gamma,22.214,38.889
M00800,alpha,8.359,11.237
M00801,beta,67.706,168.462
M00802,beta,19.445,41.385
M00803,beta,60.317,119.506
M00804,gamma,36.106,54.695
M00805,alpha,71.596,118.223
M00806,alpha,28.465,56.443
M00807,beta,30.809,55.949
M00808,alpha,72.785,136.177
M00809,beta,74.153,137.284
M00810,alpha,80.567,151.581
M00811,beta,72.861,126.584
M00812,gamma,8.608,17.2
M00813,alpha,30.323,69.191
M00814,beta,6.612,25.833
M00815,gamma,75.611,136.563
M00816,beta,41.451,96.11
M00817,gamma,46.212,48.934
M00818,alpha,18.601,22.457
M00819,beta,28.946,44.818
M00820,beta,83.459,166.546
M00821,beta,49.41,103.393
M00822,alpha,15.402,19.183
M00823,beta,95.603,193.939
M00824,gamma,66.591,98.148
M00825,beta,41.716,71.801
M00826,alpha,2.844,6.052
M00827,beta,49.305,119.694
M00828,beta,58.107,116.616
M00829,gamma,43.607,67.585
M00830,gamma,81.828,155.531
M00831,beta,51.253,86.617
M00832,alpha,58.165,94.138
M00833,alpha,31.968,62.216
M00834,alpha,5.289,5.038
M00835,beta,41.951,100.096
M00836,beta,29.166,61.593
M00837,gamma,93.632,138.149
M00838,alpha,76.469,135.863
M00839,gamma,75.263,102.034
M00840,gamma,79.988,127.374
M00841,beta,68.544,136.344
M00842,gamma,35.163,48.306
M00843,alpha,1.29,-9.198
M00844,beta,41.199,87.837
M00845,alpha,10.242,23.224
M00846,alpha,79.511,150.123
M00847,gamma,61.343,107.592
M00848,gamma,71.255,105.479
M00849,gamma,75.631,136.193
M00850,alpha,11.657,29.734
M00851,alpha,92.341,155.93
M00852,beta,13.901,41.353
M00853,beta,88.973,158.488
M00854,beta,17.221,34.264
M00855,beta,2.876,23.536
M00856,gamma,14.236,7.805
M00857,alpha,30.743,63.778
M00858,beta,69.082,172.087
M00859,alpha,7.774,17.114
M00860,alpha,19.635,15.391
M00861,alpha,79.306,138.571
M00862,alpha,90.853,163.181
M00863,alpha,6.625,1.969
M00864,alpha,92.01,148.142
M00865,alpha,58.76,111.292
M00866,alpha,9.078,33.349
M00867,gamma,94.184,170.057
M00868,alpha,85.514,150.417
M00869,gamma,61.296,95.82
M00870,gamma,76.324,127.244
M00871,gamma,21.7,32.566
M00872,gamma,0.433,-0.107
M00873,gamma,9.869,10.951
M00874,gamma,47.472,89.302
M00875,gamma,58.938,68.045
M00876,alpha,83.474,161.425
M00877,beta,42.409,79.106
M00878,beta,12.362,36.154
M00879,alpha,51.973,82.193
M00880,beta,55.713,115.582
M00881,alpha,8.225,2.986
M00882,beta,60.039,123.537
M00883,beta,68.705,143.32
M00884,beta,29.059,60.088
M00885,beta,18.878,69.829
M00886,beta,93.908,193.783
M00887,beta,17.93,61.233
M00888,alpha,39.637,71.235
M00889,gamma,65.855,114.285
