assay_id,compound_id,compound_name,smiles,target_gene,dose,mol_weight,logp,pct_inhibition
R0095,C008,Phenol,Oc1ccccc1,CYP2E1,5 mg/kg,475.83,1.66,23.8
R0096,C008,Phenol,Oc1ccccc1,CYP2E1,2.5 mg/kg,475.83,1.66,48.5
R0097,C008,Phenol,Oc1ccccc1,CYP2E1,5 mg/kg,475.83,1.66,13.2
R0098,C008,Phenol,Oc1ccccc1,CYP2E1,5 mg/kg,475.83,1.66,57.6
R0099,C009,Nicotine,CN1CCCC1c1cccnc1,CHRNA4,25 mg,186.92,1.81,9.4
R0100,C009,Nicotine,CN1CCCC1c1cccnc1,CHRNA4,2.5 mg/kg,186.92,1.81,43.1
R0101,C009,Nicotine,CN1CCCC1c1cccnc1,CHRNA4,100 mg,186.92,1.81,41.1
R0102,C009,Nicotine,CN1CCCC1c1cccnc1,CHRNA4,0.5 mg/kg,186.92,1.81,72.9
R0103,C009,Nicotine,CN1CCCC1c1cccnc1,CHRNA4,2.5 mg/kg,186.92,1.81,65.3
R0104,C009,Nicotine,CN1CCCC1c1cccnc1,CHRNA4,2.5 mg/kg,186.92,1.81,9.8
R0105,C009,Nicotine,CN1CCCC1c1cccnc1,CHRNA4,100 mg,186.92,1.81,72.8
R0106,C009,Nicotine,CN1CCCC1c1cccnc1,CHRNA4,0.5 mg/kg,186.92,1.81,86.2
R0107,C009,Nicotine,CN1CCCC1c1cccnc1,CHRNA4,25 mg,186.92,1.81,19.2
R0108,C009,Nicotine,CN1CCCC1c1cccnc1,CHRNA4,5 mg/kg,186.92,1.81,44.9
R0109,C009,Nicotine,CN1CCCC1c1cccnc1,CHRNA4,100 mg,186.92,1.81,18.3
R0110,C009,Nicotine,CN1CCCC1c1cccnc1,CHRNA4,100 mg,186.92,1.81,25.0
R0111,C009,Nicotine,CN1CCCC1c1cccnc1,CHRNA4,10 mg,186.92,1.81,44.3
R0112,C010,Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,ABL1,2.5 mg/kg,458.99,2.35,99.9
R0113,C010,Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,ABL1,0.5 mg/kg,458.99,2.35,1.5
R0114,C010,Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,ABL1,10 mg,458.99,2.35,92.6
R0115,C010,Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,ABL1,0.5 mg/kg,458.99,2.35,23.6
R0116,C010,Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,ABL1,100 mg,458.99,2.35,48.6
R0117,C010,Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,ABL1,25 mg,458.99,2.35,86.5
R0118,C010,Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,ABL1,10 mg,458.99,2.35,16.5
R0119,C010,Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,ABL1,10 mg,458.99,2.35,98.5
R0120,C010,Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,ABL1,50 mg,458.99,2.35,92.7
R0121,C010,Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,ABL1,0.5 mg/kg,458.99,2.35,45.5
R0122,C011,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR,5 mg/kg,266.12,5.2,66.2
R0123,C011,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR,100 mg,266.12,5.2,15.5
R0124,C011,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR,50 mg,266.12,5.2,21.8
R0125,C011,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR,10 mg,266.12,5.2,57.9
R0126,C011,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR,5 mg/kg,266.12,5.2,6.1
R0127,C011,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR,50 mg,266.12,5.2,5.7
R0128,C011,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR,5 mg/kg,266.12,5.2,47.7
R0129,C011,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR,0.5 mg/kg,266.12,5.2,53.1
R0130,C011,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR,10 mg,266.12,5.2,96.1
R0131,C011,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR,10 mg,266.12,5.2,85.1
R0132,C011,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR,10 mg,266.12,5.2,59.5
R0133,C011,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR,2.5 mg/kg,266.12,5.2,86.2
R0134,C011,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR,100 mg,266.12,5.2,12.0
R0135,C011,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR,5 mg/kg,266.12,5.2,24.6
R0136,C011,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR,5 mg/kg,266.12,5.2,4.0
R0137,C011,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR,10 mg,266.12,5.2,41.9
R0138,C012,Acetone,CC(C)=O,ADH1B,25 mg,336.82,2.16,67.0
R0139,C012,Acetone,CC(C)=O,ADH1B,50 mg,336.82,2.16,23.9
R0140,C012,Acetone,CC(C)=O,ADH1B,100 mg,336.82,2.16,13.1
R0141,C012,Acetone,CC(C)=O,ADH1B,2.5 mg/kg,336.82,2.16,30.0
R0142,C012,Acetone,CC(C)=O,ADH1B,50 mg,336.82,2.16,92.9
R0143,C012,Acetone,CC(C)=O,ADH1B,10 mg,336.82,2.16,0.9
R0144,C012,Acetone,CC(C)=O,ADH1B,5 mg/kg,336.82,2.16,99.8
R0145,C012,Acetone,CC(C)=O,ADH1B,10 mg,336.82,2.16,7.3
R0146,C012,Acetone,CC(C)=O,ADH1B,25 mg,336.82,2.16,50.6
R0147,C012,Acetone,CC(C)=O,ADH1B,25 mg,336.82,2.16,93.3
R0148,C012,Acetone,CC(C)=O,ADH1B,10 mg,336.82,2.16,87.9
R0149,C012,Acetone,CC(C)=O,ADH1B,50 mg,336.82,2.16,28.5
R0150,C013,Naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,PTGS1,5 mg/kg,272.8,2.3,98.4
R0151,C013,Naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,PTGS1,0.5 mg/kg,272.8,2.3,65.4
R0152,C013,Naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,PTGS1,10 mg,272.8,2.3,66.8
R0153,C013,Naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,PTGS1,5 mg/kg,272.8,2.3,29.9
R0154,C013,Naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,PTGS1,2.5 mg/kg,272.8,2.3,10.4
R0155,C013,Naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,PTGS1,25 mg,272.8,2.3,26.4
R0156,C013,Naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,PTGS1,10 mg,272.8,2.3,74.2
R0157,C013,Naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,PTGS1,25 mg,272.8,2.3,27.2
R0158,C013,Naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,PTGS1,5 mg/kg,272.8,2.3,21.1
R0159,C013,Naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,PTGS1,50 mg,272.8,2.3,20.4
R0160,C013,Naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,PTGS1,2.5 mg/kg,272.8,2.3,85.3
R0161,C013,Naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,PTGS1,5 mg/kg,272.8,2.3,48.9
R0162,C014,Diazepam,CN1c2ccc(Cl)cc2C(c2ccccc2)=NCC1=O,GABRA1,2.5 mg/kg,478.35,4.42,42.4
R0163,C014,Diazepam,CN1c2ccc(Cl)cc2C(c2ccccc2)=NCC1=O,GABRA1,50 mg,478.35,4.42,4.4
R0164,C014,Diazepam,CN1c2ccc(Cl)cc2C(c2ccccc2)=NCC1=O,GABRA1,50 mg,478.35,4.42,77.1
R0165,C014,Diazepam,CN1c2ccc(Cl)cc2C(c2ccccc2)=NCC1=O,GABRA1,2.5 mg/kg,478.35,4.42,98.0
R0166,C014,Diazepam,CN1c2ccc(Cl)cc2C(c2ccccc2)=NCC1=O,GABRA1,25 mg,478.35,4.42,74.1
R0167,C014,Diazepam,CN1c2ccc(Cl)cc2C(c2ccccc2)=NCC1=O,GABRA1,5 mg/kg,478.35,4.42,70.6
R0168,C014,Diazepam,CN1c2ccc(Cl)cc2C(c2ccccc2)=NCC1=O,GABRA1,5 mg/kg,478.35,4.42,1.0
R0169,C014,Diazepam,CN1c2ccc(Cl)cc2C(c2ccccc2)=NCC1=O,GABRA1,10 mg,478.35,4.42,94.5
R0170,C014,Diazepam,CN1c2ccc(Cl)cc2C(c2ccccc2)=NCC1=O,GABRA1,2.5 mg/kg,478.35,4.42,90.4
R0171,C014,Diazepam,CN1c2ccc(Cl)cc2C(c2ccccc2)=NCC1=O,GABRA1,5 mg/kg,478.35,4.42,3.6
R0172,C015,Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,VKORC1,25 mg,242.46,2.37,4.2
R0173,C015,Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,VKORC1,50 mg,242.46,2.37,89.9
R0174,C015,Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,VKORC1,0.5 mg/kg,242.46,2.37,97.2
R0175,C015,Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,VKORC1,10 mg,242.46,2.37,89.9
R0176,C015,Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,VKORC1,25 mg,242.46,2.37,68.2
R0177,C015,Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,VKORC1,2.5 mg/kg,242.46,2.37,10.3
R0178,C015,Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,VKORC1,0.5 mg/kg,242.46,2.37,56.0
R0179,C015,Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,VKORC1,0.5 mg/kg,242.46,2.37,40.6
R0180,C015,Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,VKORC1,5 mg/kg,242.46,2.37,74.9
R0181,C015,Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,VKORC1,25 mg,242.46,2.37,86.5
R0182,C015,Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,VKORC1,0.5 mg/kg,242.46,2.37,81.1
R0183,C015,Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,VKORC1,100 mg,242.46,2.37,2.5
R0184,C015,Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,VKORC1,2.5 mg/kg,242.46,2.37,92.4
R0185,C016,Metformin,CN(C)C(=N)NC(=N)N,PRKAA1,0.5 mg/kg,424.25,1.38,73.5
R0186,C016,Metformin,CN(C)C(=N)NC(=N)N,PRKAA1,25 mg,424.25,1.38,26.7
R0187,C016,Metformin,CN(C)C(=N)NC(=N)N,PRKAA1,0.5 mg/kg,424.25,1.38,70.1
R0188,C016,Metformin,CN(C)C(=N)NC(=N)N,PRKAA1,100 mg,424.25,1.38,87.2
R0189,C016,Metformin,CN(C)C(=N)NC(=N)N,PRKAA1,0.5 mg/kg,424.25,1.38,47.1
R0190,C016,Metformin,CN(C)C(=N)NC(=N)N,PRKAA1,25 mg,424.25,1.38,81.7
R0191,C016,Metformin,CN(C)C(=N)NC(=N)N,PRKAA1,100 mg,424.25,1.38,35.0
R0192,C016,Metformin,CN(C)C(=N)NC(=N)N,PRKAA1,0.5 mg/kg,424.25,1.38,79.5
R0193,C016,Metformin,CN(C)C(=N)NC(=N)N,PRKAA1,25 mg,424.25,1.38,22.3
R0194,C016,Metformin,CN(C)C(=N)NC(=N)N,PRKAA1,2.5 mg/kg,424.25,1.38,19.3
R0195,C016,Metformin,CN(C)C(=N)NC(=N)N,PRKAA1,50 mg,424.25,1.38,27.9
R0196,C016,Metformin,CN(C)C(=N)NC(=N)N,PRKAA1,10 mg,424.25,1.38,96.7
R0197,C016,Metformin,CN(C)C(=N)NC(=N)N,PRKAA1,50 mg,424.25,1.38,35.1
R0198,C016,Metformin,CN(C)C(=N)NC(=N)N,PRKAA1,5 mg/kg,424.25,1.38,40.0
R0199,C016,Metformin,CN(C)C(=N)NC(=N)N,PRKAA1,0.5 mg/kg,424.25,1.38,53.6
R0200,C017,Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,HMGCR,25 mg,493.26,-0.69,58.1
R0201,C017,Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,HMGCR,50 mg,493.26,-0.69,3.8
R0202,C017,Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,HMGCR,5 mg/kg,493.26,-0.69,43.5
R0203,C017,Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,HMGCR,2.5 mg/kg,493.26,-0.69,78.6
R0204,C017,Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,HMGCR,100 mg,493.26,-0.69,60.6
R0205,C017,Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,HMGCR,5 mg/kg,493.26,-0.69,11.6
R0206,C017,Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,HMGCR,5 mg/kg,493.26,-0.69,19.0
R0207,C017,Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,HMGCR,10 mg,493.26,-0.69,70.9
R0208,C017,Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,HMGCR,10 mg,493.26,-0.69,52.0
R0209,C017,Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,HMGCR,0.5 mg/kg,493.26,-0.69,53.8
R0210,C017,Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,HMGCR,2.5 mg/kg,493.26,-0.69,94.0
R0211,C017,Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,HMGCR,2.5 mg/kg,493.26,-0.69,67.1
R0212,C018,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,OPRM1,50 mg,240.26,-1.01,62.3
R0213,C018,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,OPRM1,2.5 mg/kg,240.26,-1.01,84.8
