record_id,zip_code,decimal,scientific,flag,note,amount
66,00066,1.00,66E3,TRUE,"a, b, c","$66,000.00"
67,00067,1.0,67e3,True,hello,"$67,000.00"
68,00068,1.00,68e3,false, leading,"$68,000.00"
69,00069,1.0,69E3,TRUE,,"$69,000.00"
70,00070,1.00,70e3,FALSE,"a, b, c","$70,000.00"
71,00071,1.0,71e3,false,hello,"$71,000.00"
72,00072,1.00,72E3,TRUE,hello,"$72,000.00"
73,00073,1.0,73e3,FALSE,hello,"$73,000.00"
74,00074,1.00,74e3,TRUE, leading,"$74,000.00"
75,00075,1.0,75E3,True,hello,"$75,000.00"
76,00076,1.00,76e3,FALSE,"a, b, c","$76,000.00"
77,00077,1.0,77e3,false,"has ""quotes""","$77,000.00"
78,00078,1.00,78E3,FALSE,trailing space ,"$78,000.00"
79,00079,1.0,79e3,TRUE,"has ""quotes""","$79,000.00"
80,00080,1.00,80e3,false,,"$80,000.00"
81,00081,1.0,81E3,True,hello,"$81,000.00"
82,00082,1.00,82e3,false, leading,"$82,000.00"
83,00083,1.0,83e3,FALSE,,"$83,000.00"
84,00084,1.00,84E3,false,,"$84,000.00"
85,00085,1.0,85e3,TRUE,"a, b, c","$85,000.00"
86,00086,1.00,86e3,FALSE,trailing space ,"$86,000.00"
87,00087,1.0,87E3,false,,"$87,000.00"
88,00088,1.00,88e3,false, leading,"$88,000.00"
89,00089,1.0,89e3,True,,"$89,000.00"
90,00090,1.00,90E3,TRUE,,"$90,000.00"
91,00091,1.0,91e3,FALSE,"has ""quotes""","$91,000.00"
92,00092,1.00,92e3,TRUE,,"$92,000.00"
93,00093,1.0,93E3,True,trailing space ,"$93,000.00"
94,00094,1.00,94e3,TRUE,,"$94,000.00"
95,00095,1.0,95e3,True,,"$95,000.00"
96,00096,1.00,96E3,false,,"$96,000.00"
97,00097,1.0,97e3,TRUE, leading,"$97,000.00"
98,00098,1.00,98e3,false,"has ""quotes""","$98,000.00"
99,00099,1.0,99E3,True, leading,"$99,000.00"
100,00100,1.00,100e3,TRUE,hello,"$100,000.00"
101,00101,1.0,101e3,True,"a, b, c","$101,000.00"
102,00102,1.00,102E3,FALSE,trailing space ,"$102,000.00"
103,00103,1.0,103e3,True,hello,"$103,000.00"
104,00104,1.00,104e3,True,,"$104,000.00"
105,00105,1.0,105E3,FALSE,trailing space ,"$105,000.00"
106,00106,1.00,106e3,True,hello,"$106,000.00"
107,00107,1.0,107e3,FALSE,"has ""quotes""","$107,000.00"
108,00108,1.00,108E3,FALSE,"has ""quotes""","$108,000.00"
109,00109,1.0,109e3,false,"a, b, c","$109,000.00"
110,00110,1.00,110e3,TRUE,"has ""quotes""","$110,000.00"
111,00111,1.0,111E3,FALSE,hello,"$111,000.00"
112,00112,1.00,112e3,false, leading,"$112,000.00"
113,00113,1.0,113e3,True,trailing space ,"$113,000.00"
114,00114,1.00,114E3,FALSE,trailing space ,"$114,000.00"
115,00115,1.0,115e3,FALSE,"has ""quotes""","$115,000.00"
116,00116,1.00,116e3,True,"has ""quotes""","$116,000.00"
117,00117,1.0,117E3,FALSE, leading,"$117,000.00"
118,00118,1.00,118e3,FALSE,trailing space ,"$118,000.00"
119,00119,1.0,119e3,TRUE,hello,"$119,000.00"
120,00120,1.00,120E3,FALSE, leading,"$120,000.00"
121,00121,1.0,121e3,TRUE,,"$121,000.00"
122,00122,1.00,122e3,True,hello,"$122,000.00"
123,00123,1.0,123E3,True,trailing space ,"$123,000.00"
124,00124,1.00,124e3,TRUE,"a, b, c","$124,000.00"
125,00125,1.0,125e3,True,,"$125,000.00"
126,00126,1.00,126E3,TRUE,hello,"$126,000.00"
127,00127,1.0,127e3,FALSE,,"$127,000.00"
128,00128,1.00,128e3,True, leading,"$128,000.00"
129,00129,1.0,129E3,FALSE,"a, b, c","$129,000.00"
130,00130,1.00,130e3,FALSE,,"$130,000.00"
131,00131,1.0,131e3,TRUE,"has ""quotes""","$131,000.00"
132,00132,1.00,132E3,TRUE,,"$132,000.00"
133,00133,1.0,133e3,false, leading,"$133,000.00"
134,00134,1.00,134e3,false,trailing space ,"$134,000.00"
135,00135,1.0,135E3,false,trailing space ,"$135,000.00"
136,00136,1.00,136e3,false,trailing space ,"$136,000.00"
137,00137,1.0,137e3,True,"a, b, c","$137,000.00"
138,00138,1.00,138E3,false,trailing space ,"$138,000.00"
139,00139,1.0,139e3,True,trailing space ,"$139,000.00"
140,00140,1.00,140e3,false,trailing space ,"$140,000.00"
141,00141,1.0,141E3,false,,"$141,000.00"
142,00142,1.00,142e3,FALSE,"a, b, c","$142,000.00"
143,00143,1.0,143e3,false, leading,"$143,000.00"
144,00144,1.00,144E3,True,"a, b, c","$144,000.00"
145,00145,1.0,145e3,FALSE,hello,"$145,000.00"
146,00146,1.00,146e3,false,,"$146,000.00"
147,00147,1.0,147E3,True,"a, b, c","$147,000.00"
148,00148,1.00,148e3,FALSE,hello,"$148,000.00"
149,00149,1.0,149e3,TRUE,"has ""quotes""","$149,000.00"
150,00150,1.00,150E3,True,"a, b, c","$150,000.00"
151,00151,1.0,151e3,TRUE,trailing space ,"$151,000.00"
152,00152,1.00,152e3,FALSE,"has ""quotes""","$152,000.00"
153,00153,1.0,153E3,TRUE,hello,"$153,000.00"
154,00154,1.00,154e3,FALSE,trailing space ,"$154,000.00"
155,00155,1.0,155e3,True,hello,"$155,000.00"
156,00156,1.00,156E3,false, leading,"$156,000.00"
157,00157,1.0,157e3,True,"has ""quotes""","$157,000.00"
158,00158,1.00,158e3,TRUE,"a, b, c","$158,000.00"
159,00159,1.0,159E3,false,"has ""quotes""","$159,000.00"
160,00160,1.00,160e3,FALSE,trailing space ,"$160,000.00"
161,00161,1.0,161e3,false,"has ""quotes""","$161,000.00"
162,00162,1.00,162E3,FALSE,"has ""quotes""","$162,000.00"
163,00163,1.0,163e3,True,hello,"$163,000.00"
164,00164,1.00,164e3,True,hello,"$164,000.00"
165,00165,1.0,165E3,True,"has ""quotes""","$165,000.00"
166,00166,1.00,166e3,True,"has ""quotes""","$166,000.00"
167,00167,1.0,167e3,TRUE,"a, b, c","$167,000.00"
168,00168,1.00,168E3,FALSE,"has ""quotes""","$168,000.00"
169,00169,1.0,169e3,false, leading,"$169,000.00"
170,00170,1.00,170e3,FALSE,"a, b, c","$170,000.00"
171,00171,1.0,171E3,True,hello,"$171,000.00"
172,00172,1.00,172e3,True,"a, b, c","$172,000.00"
173,00173,1.0,173e3,TRUE,trailing space ,"$173,000.00"
174,00174,1.00,174E3,True,"a, b, c","$174,000.00"
175,00175,1.0,175e3,True,,"$175,000.00"
176,00176,1.00,176e3,TRUE,"has ""quotes""","$176,000.00"
177,00177,1.0,177E3,TRUE,hello,"$177,000.00"
178,00178,1.00,178e3,True,trailing space ,"$178,000.00"
179,00179,1.0,179e3,FALSE,,"$179,000.00"
180,00180,1.00,180E3,FALSE,"has ""quotes""","$180,000.00"
181,00181,1.0,181e3,false,trailing space ,"$181,000.00"
182,00182,1.00,182e3,TRUE,"a, b, c","$182,000.00"
183,00183,1.0,183E3,FALSE,,"$183,000.00"
184,00184,1.00,184e3,FALSE, leading,"$184,000.00"
185,00185,1.0,185e3,FALSE,"has ""quotes""","$185,000.00"
186,00186,1.00,186E3,false,trailing space ,"$186,000.00"
187,00187,1.0,187e3,false,trailing space ,"$187,000.00"
188,00188,1.00,188e3,TRUE,trailing space ,"$188,000.00"
189,00189,1.0,189E3,True,"a, b, c","$189,000.00"
190,00190,1.00,190e3,false, leading,"$190,000.00"
191,00191,1.0,191e3,True,,"$191,000.00"
192,00192,1.00,192E3,FALSE,,"$192,000.00"
193,00193,1.0,193e3,false, leading,"$193,000.00"
194,00194,1.00,194e3,TRUE,trailing space ,"$194,000.00"
195,00195,1.0,195E3,FALSE, leading,"$195,000.00"
196,00196,1.00,196e3,false,"a, b, c","$196,000.00"
197,00197,1.0,197e3,TRUE,"has ""quotes""","$197,000.00"
198,00198,1.00,198E3,FALSE, leading,"$198,000.00"
199,00199,1.0,199e3,false, leading,"$199,000.00"
200,00200,1.00,200e3,FALSE,"a, b, c","$200,000.00"
